x,y
0,310
1,295
2,320
3,280
4,305
5,275
6,290
7,265
8,300
9,255
10,270
11,260
12,245
13,275
14,235
15,250
16,240
17,225
18,260
19,215
20,230
21,220
22,210
23,235
24,200
25,215
26,205
27,190
28,225
29,180
30,195
31,185
32,175
33,200
34,165
35,180
36,170
37,160
38,190
39,150
40,165
41,155
42,145
43,170
44,135
45,150
46,140
47,130
48,155
49,125
50,140
51,130
52,120
53,145
54,115
55,130
56,120
57,110
58,135
59,105
60,120
61,110
62,100
63,125
64,95
65,110
66,100
67,90
68,115
69,85
70,100
71,90
72,80
73,105
74,75
75,90
76,80
77,70
78,95
79,65
80,80
81,70
82,60
83,85
84,55
85,70
86,60
87,50
88,75
89,45
90,60
91,50
92,40
93,65
94,35
95,50
96,40
97,30
98,55
99,25
